"Step","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc__MIN","openj9_triagerx_ensemble_u2c2_50_classes_last_dev_seed42 - val_acc__MAX","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc__MIN","openj9_triagerx_ensemble_u3c1_50_classes_last_dev_seed42 - val_acc__MAX","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MIN","triagerx_ensemble_u3_50_classes_last_dev_seed42 - val_acc__MAX"
"0","0.02356020942408377","0.02356020942408377","0.02356020942408377","0.015706806282722512","0.015706806282722512","0.015706806282722512","0.06068601583113457","0.06068601583113457","0.06068601583113457"
"1","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.04450261780104712","0.04450261780104712","0.04450261780104712","0.029023746701846966","0.029023746701846966","0.029023746701846966"
"2","0.03926701570680628","0.03926701570680628","0.03926701570680628","0.04712041884816754","0.04712041884816754","0.04712041884816754","0.026385224274406333","0.026385224274406333","0.026385224274406333"
"3","0.049738219895287955","0.049738219895287955","0.049738219895287955","0.034031413612565446","0.034031413612565446","0.034031413612565446","0.07651715039577836","0.07651715039577836","0.07651715039577836"
"4","0.05759162303664921","0.05759162303664921","0.05759162303664921","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.08443271767810026","0.08443271767810026","0.08443271767810026"
"5","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.07591623036649214","0.07591623036649214","0.07591623036649214","0.08970976253298153","0.08970976253298153","0.08970976253298153"
"6","0.11780104712041885","0.11780104712041885","0.11780104712041885","0.09162303664921466","0.09162303664921466","0.09162303664921466","0.09234828496042216","0.09234828496042216","0.09234828496042216"
"7","0.11780104712041885","0.11780104712041885","0.11780104712041885","0.06544502617801047","0.06544502617801047","0.06544502617801047","0.13192612137203166","0.13192612137203166","0.13192612137203166"
"8","0.16230366492146597","0.16230366492146597","0.16230366492146597","0.07853403141361257","0.07853403141361257","0.07853403141361257","0.1345646437994723","0.1345646437994723","0.1345646437994723"
"9","0.16753926701570682","0.16753926701570682","0.16753926701570682","0.13350785340314136","0.13350785340314136","0.13350785340314136","0.16358839050131926","0.16358839050131926","0.16358839050131926"
"10","0.1806282722513089","0.1806282722513089","0.1806282722513089","0.10732984293193717","0.10732984293193717","0.10732984293193717","0.16358839050131926","0.16358839050131926","0.16358839050131926"
"11","0.21204188481675393","0.21204188481675393","0.21204188481675393","0.13089005235602094","0.13089005235602094","0.13089005235602094","0.19788918205804748","0.19788918205804748","0.19788918205804748"
"12","0.18324607329842932","0.18324607329842932","0.18324607329842932","0.1387434554973822","0.1387434554973822","0.1387434554973822","0.17678100263852242","0.17678100263852242","0.17678100263852242"
"13","0.193717277486911","0.193717277486911","0.193717277486911","0.17277486910994763","0.17277486910994763","0.17277486910994763","0.22163588390501318","0.22163588390501318","0.22163588390501318"
"14","0.1806282722513089","0.1806282722513089","0.1806282722513089","0.16753926701570682","0.16753926701570682","0.16753926701570682","0.19788918205804748","0.19788918205804748","0.19788918205804748"
"15","0.2198952879581152","0.2198952879581152","0.2198952879581152","0.15968586387434555","0.15968586387434555","0.15968586387434555","0.22163588390501318","0.22163588390501318","0.22163588390501318"
"16","0.2198952879581152","0.2198952879581152","0.2198952879581152","0.1544502617801047","0.1544502617801047","0.1544502617801047","0.20052770448548812","0.20052770448548812","0.20052770448548812"
"17","0.20680628272251309","0.20680628272251309","0.20680628272251309","0.14397905759162305","0.14397905759162305","0.14397905759162305","0.20052770448548812","0.20052770448548812","0.20052770448548812"
"18","0.24083769633507854","0.24083769633507854","0.24083769633507854","0.20157068062827224","0.20157068062827224","0.20157068062827224","0.22691292875989447","0.22691292875989447","0.22691292875989447"
"19","0.20680628272251309","0.20680628272251309","0.20680628272251309","0.18848167539267016","0.18848167539267016","0.18848167539267016","0.24538258575197888","0.24538258575197888","0.24538258575197888"
"20","0.2198952879581152","0.2198952879581152","0.2198952879581152","0.16753926701570682","0.16753926701570682","0.16753926701570682","0.2559366754617414","0.2559366754617414","0.2559366754617414"
"21","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.17539267015706805","0.17539267015706805","0.17539267015706805","0.24274406332453827","0.24274406332453827","0.24274406332453827"
"22","0.2356020942408377","0.2356020942408377","0.2356020942408377","0.1806282722513089","0.1806282722513089","0.1806282722513089","0.2638522427440633","0.2638522427440633","0.2638522427440633"
"23","0.25392670157068065","0.25392670157068065","0.25392670157068065","0.15968586387434555","0.15968586387434555","0.15968586387434555","0.25065963060686014","0.25065963060686014","0.25065963060686014"
"24","0.21727748691099477","0.21727748691099477","0.21727748691099477","0.193717277486911","0.193717277486911","0.193717277486911","0.25857519788918204","0.25857519788918204","0.25857519788918204"
"25","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.20157068062827224","0.20157068062827224","0.20157068062827224","0.22955145118733508","0.22955145118733508","0.22955145118733508"
"26","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.1806282722513089","0.1806282722513089","0.1806282722513089","0.25857519788918204","0.25857519788918204","0.25857519788918204"
"27","0.25654450261780104","0.25654450261780104","0.25654450261780104","0.19109947643979058","0.19109947643979058","0.19109947643979058","0.24010554089709762","0.24010554089709762","0.24010554089709762"
"28","0.2617801047120419","0.2617801047120419","0.2617801047120419","0.20157068062827224","0.20157068062827224","0.20157068062827224","0.26649076517150394","0.26649076517150394","0.26649076517150394"
"29","0.2513089005235602","0.2513089005235602","0.2513089005235602","0.2094240837696335","0.2094240837696335","0.2094240837696335","0.2559366754617414","0.2559366754617414","0.2559366754617414"
"30","0.25654450261780104","0.25654450261780104","0.25654450261780104","0.20418848167539266","0.20418848167539266","0.20418848167539266","0.2559366754617414","0.2559366754617414","0.2559366754617414"
"31","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.21465968586387435","0.21465968586387435","0.21465968586387435","0.2559366754617414","0.2559366754617414","0.2559366754617414"
"32","0.2670157068062827","0.2670157068062827","0.2670157068062827","0.19895287958115182","0.19895287958115182","0.19895287958115182","0.2559366754617414","0.2559366754617414","0.2559366754617414"
"33","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.22251308900523561","0.22251308900523561","0.22251308900523561","0.2612137203166227","0.2612137203166227","0.2612137203166227"
"34","0.24607329842931938","0.24607329842931938","0.24607329842931938","0.21727748691099477","0.21727748691099477","0.21727748691099477","0.26649076517150394","0.26649076517150394","0.26649076517150394"
"35","0.25392670157068065","0.25392670157068065","0.25392670157068065","0.20680628272251309","0.20680628272251309","0.20680628272251309","0.2612137203166227","0.2612137203166227","0.2612137203166227"
"36","0.2513089005235602","0.2513089005235602","0.2513089005235602","0.21204188481675393","0.21204188481675393","0.21204188481675393","0.25857519788918204","0.25857519788918204","0.25857519788918204"
"37","0.25392670157068065","0.25392670157068065","0.25392670157068065","0.2094240837696335","0.2094240837696335","0.2094240837696335","0.2638522427440633","0.2638522427440633","0.2638522427440633"
"38","0.2513089005235602","0.2513089005235602","0.2513089005235602","0.20680628272251309","0.20680628272251309","0.20680628272251309","0.26649076517150394","0.26649076517150394","0.26649076517150394"
"39","0.2486910994764398","0.2486910994764398","0.2486910994764398","0.21204188481675393","0.21204188481675393","0.21204188481675393","0.26649076517150394","0.26649076517150394","0.26649076517150394"