"Step","triagerx_nosampler_ensemble_dt_gc_th20_block9_seed42 - val_acc","triagerx_nosampler_ensemble_dt_gc_th20_block9_seed42 - val_acc__MIN","triagerx_nosampler_ensemble_dt_gc_th20_block9_seed42 - val_acc__MAX","cnn_roberta_base_dt_gc_th20_block9_seed42 - val_acc","cnn_roberta_base_dt_gc_th20_block9_seed42 - val_acc__MIN","cnn_roberta_base_dt_gc_th20_block9_seed42 - val_acc__MAX","cnn_deberta_base_dt_gc_th20_block9_seed42 - val_acc","cnn_deberta_base_dt_gc_th20_block9_seed42 - val_acc__MIN","cnn_deberta_base_dt_gc_th20_block9_seed42 - val_acc__MAX"
"0","0.033670345979037196","0.033670345979037196","0.033670345979037196","0.003060940543548836","0.003060940543548836","0.003060940543548836","0.0012058250626101475","0.0012058250626101475","0.0012058250626101475"
"1","0.14135979964752807","0.14135979964752807","0.14135979964752807","0.04767646786012429","0.04767646786012429","0.04767646786012429","0.02893980150264354","0.02893980150264354","0.02893980150264354"
"2","0.2096280493460718","0.2096280493460718","0.2096280493460718","0.11742880994341898","0.11742880994341898","0.11742880994341898","0.08403673128652259","0.08403673128652259","0.08403673128652259"
"3","0.2583248307207124","0.2583248307207124","0.2583248307207124","0.1514701790186439","0.1514701790186439","0.1514701790186439","0.1250347834152676","0.1250347834152676","0.1250347834152676"
"4","0.2810499953622113","0.2810499953622113","0.2810499953622113","0.17317503014562657","0.17317503014562657","0.17317503014562657","0.15397458491791113","0.15397458491791113","0.15397458491791113"
"5","0.30238382339300623","0.30238382339300623","0.30238382339300623","0.18745941934885446","0.18745941934885446","0.18745941934885446","0.17206196085706335","0.17206196085706335","0.17206196085706335"
"6","0.3159261664038586","0.3159261664038586","0.3159261664038586","0.20220758742231704","0.20220758742231704","0.20220758742231704","0.18912902328169928","0.18912902328169928","0.18912902328169928"
"7","0.32436694184212966","0.32436694184212966","0.32436694184212966","0.21139040905296355","0.21139040905296355","0.21139040905296355","0.20972080512011873","0.20972080512011873","0.20972080512011873"
"8","0.33085984602541507","0.33085984602541507","0.33085984602541507","0.222057323068361","0.222057323068361","0.222057323068361","0.21259623411557368","0.21259623411557368","0.21259623411557368"
"9","0.33725999443465354","0.33725999443465354","0.33725999443465354","0.22706613486689547","0.22706613486689547","0.22706613486689547","0.22140803265003248","0.22140803265003248","0.22140803265003248"
"10","0.34338187552175126","0.34338187552175126","0.34338187552175126","0.23485761988683795","0.23485761988683795","0.23485761988683795","0.23049809850663203","0.23049809850663203","0.23049809850663203"
"11","0.34542250255078377","0.34542250255078377","0.34542250255078377","0.2406084778777479","0.2406084778777479","0.2406084778777479","0.23615620072349502","0.23615620072349502","0.23615620072349502"
"12","0.34375289861793895","0.34375289861793895","0.34375289861793895","0.24376217419534366","0.24376217419534366","0.24376217419534366","0.24886374176792506","0.24886374176792506","0.24886374176792506"
"13","0.3489472219645673","0.3489472219645673","0.3489472219645673","0.2462665800946109","0.2462665800946109","0.2462665800946109","0.2536870420183656","0.2536870420183656","0.2536870420183656"
"14","0.35070958167145905","0.35070958167145905","0.35070958167145905","0.24988405528244134","0.24988405528244134","0.24988405528244134","0.2561914479176329","0.2561914479176329","0.2561914479176329"
"15","0.35349225489286706","0.35349225489286706","0.35349225489286706","0.25340877469622486","0.25340877469622486","0.25340877469622486","0.25962341155736945","0.25962341155736945","0.25962341155736945"
"16","0.35349225489286706","0.35349225489286706","0.35349225489286706","0.2564697152397737","0.2564697152397737","0.2564697152397737","0.2615712828123551","0.2615712828123551","0.2615712828123551"
"17","0.3551618588257119","0.3551618588257119","0.3551618588257119","0.25860309804285314","0.25860309804285314","0.25860309804285314","0.2629626194230591","0.2629626194230591","0.2629626194230591"
"18","0.3551618588257119","0.3551618588257119","0.3551618588257119","0.25888136536499395","0.25888136536499395","0.25888136536499395","0.26259159632687135","0.26259159632687135","0.26259159632687135"
"19","0.3556256376959466","0.3556256376959466","0.3556256376959466","0.2589741211390409","0.2589741211390409","0.2589741211390409","0.2637974213894815","0.2637974213894815","0.2637974213894815"