similarity_prediction_weight,time_decay_factor,direct_assignment_score,contribution_score,discussion_score,similarity_threshold,topk_issues,T1DL,T1Sim,T1Com,T3DL,T3Sim,T3Com,T5DL,T5Sim,T5Com,T10DL,T10Sim,T10Com,T20DL,T20Sim,T20Com
0.65,0.01,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31926121372031663,0.47229551451187335,0.48284960422163586,0.5329815303430079,0.5910290237467019,0.5883905013192612,0.6358839050131926,0.7282321899736148,0.7018469656992085,0.7493403693931399,0.899736147757256,0.8601583113456465,0.9155672823218998
0.65,0.02,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31398416886543534,0.47229551451187335,0.48021108179419525,0.5171503957783641,0.5910290237467019,0.5910290237467019,0.6306068601583114,0.7282321899736148,0.6965699208443272,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.03,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.29023746701846964,0.31398416886543534,0.47229551451187335,0.47493403693931396,0.5171503957783641,0.5910290237467019,0.5936675461741425,0.633245382585752,0.7282321899736148,0.6965699208443272,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.04,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2849604221635884,0.31398416886543534,0.47229551451187335,0.47229551451187335,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.05,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2849604221635884,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.06,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5197889182058048,0.5910290237467019,0.5883905013192612,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.07,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5171503957783641,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.08,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.09,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.1,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.2796833773087071,0.3113456464379947,0.47229551451187335,0.46965699208443273,0.5145118733509235,0.5910290237467019,0.5910290237467019,0.633245382585752,0.7282321899736148,0.6939313984168866,0.7361477572559367,0.899736147757256,0.862796833773087,0.9129287598944591
0.65,0.0,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.19788918205804748,0.24010554089709762,0.47229551451187335,0.40105540897097625,0.47229551451187335,0.5910290237467019,0.5435356200527705,0.6121372031662269,0.7282321899736148,0.6965699208443272,0.7493403693931399,0.899736147757256,0.8390501319261213,0.9076517150395779
0.65,-0.02,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.08179419525065963,0.11609498680738786,0.47229551451187335,0.1820580474934037,0.41688654353562005,0.5910290237467019,0.2691292875989446,0.5514511873350924,0.7282321899736148,0.5303430079155673,0.7044854881266491,0.899736147757256,0.8047493403693932,0.8865435356200527
0.65,-0.03,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.07651715039577836,0.11345646437994723,0.47229551451187335,0.17941952506596306,0.41952506596306066,0.5910290237467019,0.2691292875989446,0.5567282321899736,0.7282321899736148,0.5277044854881267,0.712401055408971,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.04,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.07651715039577836,0.10817941952506596,0.47229551451187335,0.17678100263852242,0.41688654353562005,0.5910290237467019,0.2691292875989446,0.5620052770448549,0.7282321899736148,0.525065963060686,0.7150395778364116,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.05,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.079155672823219,0.11345646437994723,0.47229551451187335,0.1820580474934037,0.40897097625329815,0.5910290237467019,0.26649076517150394,0.5620052770448549,0.7282321899736148,0.5197889182058048,0.7176781002638523,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.06,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.07387862796833773,0.11345646437994723,0.47229551451187335,0.17678100263852242,0.41160949868073876,0.5910290237467019,0.26649076517150394,0.5567282321899736,0.7282321899736148,0.5197889182058048,0.7176781002638523,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.07,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.07651715039577836,0.11081794195250659,0.47229551451187335,0.17150395778364116,0.41424802110817943,0.5910290237467019,0.2638522427440633,0.554089709762533,0.7282321899736148,0.5171503957783641,0.7176781002638523,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.08,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.079155672823219,0.11081794195250659,0.47229551451187335,0.16886543535620052,0.41424802110817943,0.5910290237467019,0.2638522427440633,0.554089709762533,0.7282321899736148,0.5197889182058048,0.7203166226912929,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.09,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.07651715039577836,0.11081794195250659,0.47229551451187335,0.16886543535620052,0.41688654353562005,0.5910290237467019,0.2638522427440633,0.5567282321899736,0.7282321899736148,0.5171503957783641,0.7203166226912929,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.1,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.079155672823219,0.11081794195250659,0.47229551451187335,0.16886543535620052,0.41688654353562005,0.5910290237467019,0.2638522427440633,0.5567282321899736,0.7282321899736148,0.5145118733509235,0.7229551451187335,0.899736147757256,0.8047493403693932,0.8891820580474934
0.65,-0.01,0.5,1.5,0.2,0.5,20,0.2559366754617414,0.08970976253298153,0.12928759894459102,0.47229551451187335,0.18733509234828497,0.42480211081794195,0.5910290237467019,0.27440633245382584,0.5514511873350924,0.7282321899736148,0.5303430079155673,0.7018469656992085,0.899736147757256,0.8073878627968337,0.8865435356200527
